id,name,lat,lon,line
6487873948,新造,23.0309054,113.4100668,
6487873949,石碁,22.9598622,113.4598355,
6490208822,坑贝,23.2815106,113.6376868,
6490208823,凤岗,23.2791341,113.6650884,
6490208824,朱村,23.274982,113.6963482,
6490208825,中新,23.2881831,113.6078885,
6490208826,镇龙西,23.2810787,113.568544,
6490208829,山田,23.2790946,113.7395342,
6491001176,石溪,23.0705319,113.2806352,
6491001177,沙园,23.0911746,113.2552976,
6491001178,沙涌,23.0859864,113.2418129,
6491001179,鹤洞,23.0753508,113.2348608,
6491001180,菊树,23.0685251,113.2076636,
6491001181,龙溪,23.068282,113.1868541,
6491001182,金融高新区,23.0686698,113.1530235,
6491001183,千灯湖,23.0575032,113.1500148,
6491001184,𧒽岗,23.04518,113.1499495,
6491001285,朝安,23.0301623,113.1277392,
6491001286,祖庙,23.0296284,113.1066766,
6491001287,同济路,23.0216223,113.1030268,
6491001288,季华园,23.0096252,113.1030462,
6491001289,燕岗,23.0786846,113.2659907,
6491001290,澜石,22.9866445,113.1015033,
6491001291,东平,22.9677025,113.1236856,
6491001292,新城东,22.9615085,113.1349373,
6491001293,南洲,23.0672586,113.2925006,
6495389764,神岗,23.4776894,113.5121407,
6495389765,东风,23.5695574,113.5957494,
6496315113,钟落潭,23.3779275,113.3951068,
6496315114,竹料,23.3512259,113.3629548,
6496315115,太和,23.3014239,113.3414188,
6496315116,夏良,23.2800879,113.3180738,
6508660705,赤草,23.5039659,113.5551611,
6508660706,从化客运站,23.5343304,113.5896318,
6521403848,马沥,23.3966392,113.4451203,
6553091585,宝岗大道,23.0887467,113.2642878,
6585416855,高塘石,23.1934152,113.4046149,
6635562080,番禺广场,22.9382184,113.3799037,
6665354313,晓港,23.0958114,113.2765887,
6839413181,体育西路,23.1338184,113.3161354,
6898322555,文化公园,23.1116869,113.2445068,
7071675992,苏元,23.1733132,113.4626686,
7071675993,天河智慧城,23.1654778,113.3977405,
7071675994,大观南路,23.1470693,113.4013854,
7071675996,棠东,23.1333588,113.3844164,
7071675998,天河公园,23.1277271,113.3573631,
7090438961,长平,23.2125399,113.484341,
8166673845,广州北站,23.3789577,113.1962357,
8541104807,中大,23.0946242,113.2878149,
8541166927,鹭江,23.0979067,113.3028743,
8541171536,赤岗,23.0997074,113.3296496,
9061404692,会江,23.0158319,113.2812204,
9088053352,员岗,23.0183825,113.3590971,
9088087354,琶洲,23.1012875,113.3622342,
9088087355,新港东,23.1012416,113.3514626,
9090121426,聚龙,23.1838553,113.2332812,
9090121486,鹅掌坦,23.1587939,113.2306699,
9090121505,同福西,23.1043227,113.2470747,
9090253974,花果山公园,23.3899011,113.2129875,
9090253996,花都广场,23.4039209,113.2169853,
9090254014,马鞍山公园,23.4018757,113.2327078,
9090259738,莲塘,23.3916173,113.240174,
9090259739,清㘵,23.380822,113.2455096,
9090259808,清塘,23.3749134,113.2574816,
9090676205,飞鹅岭,23.3808232,113.1494446,
9090681420,花都汽车城,23.3821991,113.1749588,
9090884238,南海神庙,23.0857536,113.4923278,
9090884241,双岗,23.0970218,113.4685849,
9090884269,裕丰围,23.0974073,113.4500754,
9093542920,新沙,23.1397286,113.6447226,
9093542937,官湖,23.1403597,113.6314121,
9093542960,新塘,23.1345416,113.5990559,
9093543012,沙村,23.1134469,113.5648769,
9093543061,南岗,23.0975048,113.5359278,
9093584932,白云东平,23.2537798,113.3126346,
9094389169,太平,23.4545552,113.4865433,
9099659614,水西,23.1896098,113.4736963,
9110804366,冼村,23.1284496,113.3228445,
9110804367,磨碟沙,23.1036079,113.3383117,
9110804368,龙潭,23.0818855,113.3354192,
9110804369,沙溪,23.0392856,113.3330404,
9110804370,南村万博,23.0072858,113.3422576,
9119537340,广州东站,23.1537492,113.3190458,
9131707570,沥滘,23.0571656,113.3139361,
9139582307,番禺广场,22.9362295,113.3787824,
9179167270,广州东站,23.1525336,113.3194613,
9211705541,车陂南,23.1183256,113.3846539,
9220578094,广州火车站,23.1505659,113.2519606,
9225232063,磨碟沙,23.1012256,113.3362501,
9225232064,华林寺,23.1207642,113.2418239,
9238609568,沥滘,23.057492,113.313925,
9371696899,南庄,22.9857696,113.0012734,
9371696900,湖涌,23.0057011,113.0062226,
9371696901,石湾,23.0083241,113.077596,
9371696902,绿岛湖,23.004547,113.0286614,
9371696903,智慧新城,23.0136753,113.0501119,
9371696904,沙岗,22.9990723,113.0887028,
9372157605,张槎,23.0136445,113.0625491,
9372157606,石梁,22.9953616,113.1128539,
9372157607,湾华,22.9946737,113.1260983,
